iter	MAPE	RMSE	R2	MAE
311	0.3504385045	1051598.962	0.9230429275	635020.3459
312	0.3497905824	1050050.944	0.9232693319	634345.8117
313	0.3492443455	1049547.638	0.9233428707	634027.7192
314	0.3490133156	1048812.478	0.9234502227	633593.2237
315	0.3486417672	1047986.086	0.9235708071	633192.3462
316	0.3479674022	1047266.591	0.923675716	632712.8288
317	0.3477331218	1046139.467	0.923839916	632034.9714
318	0.347326227	1045007.356	0.9240046647	631731.6568
319	0.346546072	1044196.722	0.9241225213	631223.6071
320	0.3460322149	1042965.958	0.924301285	630641.7957
321	0.3453465553	1041929.111	0.9244517193	630236.5984
322	0.3450797426	1041049.875	0.9245791691	629683.6078
323	0.3448523222	1040456.577	0.9246651097	629446.1586
324	0.3444099294	1039466.574	0.9248084051	629177.2369
325	0.3433621384	1038721.607	0.9249161433	628716.394
326	0.3428793658	1037597.69	0.9250785398	628270.9161
327	0.3426085227	1036457.581	0.9252430963	627903.0138
328	0.3417578127	1035271.018	0.9254141655	627367.3133
329	0.3412423409	1034298.849	0.9255541791	627062.6338
330	0.3404796665	1033068.056	0.9257312515	626297.5942
331	0.3402107829	1032644.66	0.925792116	626024.1409
332	0.3397575717	1031235.144	0.9259945591	625462.5596
333	0.3393148849	1029727.5	0.9262107896	624863.0436
334	0.3385756173	1028808.469	0.9263424445	624405.4661
335	0.3376215466	1027966.756	0.9264629201	624037.5335
336	0.3368600244	1027221.993	0.9265694369	623523.9647
337	0.3366223961	1025795.597	0.926773226	623044.028
338	0.3362792314	1025126.674	0.9268686975	622653.2974
339	0.3357000001	1024847.024	0.9269085918	622458.0265
340	0.335086193	1023870.086	0.9270478745	622111.6855
341	0.3341979545	1023534.994	0.9270956182	621822.6037
342	0.3339057092	1022636.105	0.9272236142	621237.0534
343	0.3334341281	1021875.81	0.9273317875	621025.4852
344	0.3331571323	1021128.52	0.927438032	620593.7991
345	0.3327905187	1019787.3	0.9276285225	619920.5714
346	0.332531444	1019228.656	0.9277077916	619653.617
347	0.331632024	1018843.266	0.9277624515	619327.664
348	0.331474435	1018001.54	0.9278817615	618888.6854
349	0.3311909831	1017332.531	0.9279765196	618555.6474
350	0.3310236421	1016859.981	0.9280434137	618260.4327
351	0.3308144011	1015905.819	0.92817839	617847.7608
352	0.3300576669	1015138.736	0.9282868102	617350.3773
353	0.3297250328	1014610.73	0.9283613914	617045.8383
354	0.328827186	1012963.927	0.9285937543	616254.9218
355	0.3284065054	1012066.547	0.9287202151	615844.7261
356	0.3280638639	1011584.663	0.9287880771	615692.4405
357	0.3276283728	1010866.591	0.9288891406	615545.7457
358	0.3270503562	1010177.266	0.9289860906	615091.0305
359	0.3265483053	1010074.494	0.9290005393	615006.1206
360	0.326406584	1009366.037	0.9291001012	614767.683
361	0.326285472	1008753.964	0.9291860616	614664.5632
362	0.3258806414	1008054.734	0.9292841986	614460.1972
363	0.3256991658	1007688.57	0.9293355626	614218.3261
364	0.3249269691	1007062.366	0.9294233608	613940.6522
365	0.3247272127	1006534.097	0.9294973853	613860.0272
366	0.3246037411	1006086.141	0.9295601256	613645.9669
367	0.3243364426	1004743.494	0.9297480075	613049.032
368	0.3237172303	1004314.566	0.9298079763	612742.0272
369	0.3234387888	1003226.314	0.9299600108	612325.3758
370	0.3230600404	1002578.197	0.9300504779	611964.1945
371	0.3228772135	1002031.703	0.9301267145	611691.4488
372	0.3226510031	1001340.063	0.9302231395	611291.7116
373	0.3218627179	1000492.094	0.9303412683	610677.465
374	0.3214213602	999277.2812	0.930510327	610082.697
375	0.3212972734	998373.4338	0.9306359771	609666.6991
376	0.3209355397	997017.1025	0.9308243169	609151.8964
377	0.3206215331	996250.8164	0.9309306099	608891.0082
378	0.3203428508	995195.8417	0.9310768138	608452.4349
379	0.3200102999	994555.2564	0.9311655139	608165.5066
380	0.3196638549	993954.793	0.9312486065	607975.1887
381	0.3194589355	992880.5775	0.9313971322	607614.8361
382	0.3191655653	991905.5765	0.931531801	607338.9998
383	0.3188612478	990659.395	0.9317037331	606594.812
384	0.3185513226	989449.7037	0.931870424	606079.9473
385	0.3184321482	988954.4048	0.9319386156	605812.3602
386	0.3180357391	988681.6584	0.9319761521	605638.6367
387	0.3177461432	987902.6649	0.9320833034	605328.8548
388	0.317620739	987110.8292	0.9321921346	605108.0443
